,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,288,85,31,0,0,6,27,44,0,0,0,12,21,24,0,0,6,0,0,0,0,0,0,6,0,5,4,13,17,0,0
1,101,232,12,29,0,54,2,0,0,0,0,25,0,18,0,0,0,0,0,0,0,0,0,0,0,24,2,12,14,0,0
2,16,223,82,8,0,27,46,4,0,0,0,17,9,7,0,0,1,0,0,0,0,0,0,0,0,4,2,2,8,0,0
3,219,185,81,16,0,66,28,5,0,0,0,27,7,0,0,0,10,0,0,0,0,0,0,10,0,30,2,3,4,0,0
4,591,23,69,296,0,7,2,16,0,0,0,14,1,42,0,0,8,0,0,0,0,0,0,5,0,9,0,11,8,0,0
5,44,97,66,1,0,35,19,10,0,0,0,20,8,36,0,0,2,0,0,0,0,0,0,9,0,17,0,11,5,0,0
6,235,146,121,10,0,3,5,1,0,0,0,14,32,18,0,0,6,0,0,0,0,0,0,1,0,17,1,1,2,0,0
7,333,0,162,11,0,30,10,2,0,0,0,15,1,1,0,0,2,0,0,0,0,0,0,0,0,24,4,5,2,0,0
8,116,57,180,48,0,104,74,1,0,0,0,17,19,65,0,0,2,0,0,0,0,0,0,0,0,6,4,6,9,0,0
9,360,148,80,91,0,18,4,59,0,0,0,13,21,8,0,0,0,0,0,0,0,0,0,15,0,15,2,4,8,0,0
10,424,84,140,5,0,29,58,7,0,0,0,13,12,52,0,0,2,0,0,0,0,0,0,4,0,8,1,13,11,0,0
11,446,102,180,23,0,90,10,116,0,0,0,24,26,25,0,0,19,0,0,0,0,0,0,2,0,6,2,10,1,0,0
12,408,66,107,6,0,55,38,142,0,0,0,2,3,20,0,0,19,0,0,0,0,0,0,7,0,37,5,15,14,0,0
13,549,48,9,11,0,34,37,5,0,0,0,50,4,9,0,0,7,0,0,0,0,0,0,12,0,21,3,9,19,0,0
14,126,181,78,58,0,8,19,2,0,0,0,1,26,17,0,0,23,0,0,0,0,0,0,12,0,5,7,1,13,0,0
15,366,52,55,55,0,139,7,2,0,0,0,12,2,22,0,0,2,0,0,0,0,0,0,12,0,3,7,8,12,0,0
16,153,322,98,13,0,37,110,4,0,0,0,11,3,20,0,0,37,0,0,0,0,0,0,8,0,8,6,6,12,0,0
17,93,119,176,76,0,93,29,12,0,0,0,25,20,59,0,0,0,0,0,0,0,0,0,3,0,70,2,8,4,0,0
18,37,54,117,21,0,28,58,46,0,0,0,13,44,63,0,0,67,0,0,0,0,0,0,3,0,18,4,21,1,0,0
19,42,195,37,88,0,36,30,59,0,0,0,7,56,90,0,0,0,0,0,0,0,0,0,3,0,7,1,9,15,0,0
20,252,65,169,0,0,36,25,0,0,0,0,8,19,20,0,0,18,0,0,0,0,0,0,4,0,2,0,12,3,0,0
21,192,4,147,99,0,0,20,1,0,0,0,14,18,5,0,0,6,0,0,0,0,0,0,1,0,20,0,7,1,0,0
22,24,74,19,35,0,17,18,1,0,0,0,20,1,2,0,0,3,0,0,0,0,0,0,16,0,12,3,3,28,0,0
23,198,153,118,125,0,17,87,3,0,0,0,11,3,24,0,0,0,0,0,0,0,0,0,6,0,6,4,9,4,0,0
24,116,70,34,265,0,22,4,6,0,0,0,3,20,5,0,0,9,0,0,0,0,0,0,2,0,2,2,6,12,0,0
25,737,137,80,119,0,96,31,8,0,0,0,8,14,49,0,0,7,0,0,0,0,0,0,0,0,2,3,5,7,0,0
26,395,206,73,9,0,214,20,2,0,0,0,2,13,2,0,0,18,0,0,0,0,0,0,15,0,60,1,6,27,0,0
27,18,107,39,20,0,108,15,1,0,0,0,5,39,2,0,0,18,0,0,0,0,0,0,1,0,3,0,1,8,0,0
28,71,37,25,53,0,10,30,1,0,0,0,19,13,5,0,0,16,0,0,0,0,0,0,2,0,3,3,9,9,0,0
29,320,178,36,40,0,47,24,30,0,0,0,4,18,28,0,0,2,0,0,0,0,0,0,16,0,0,2,2,0,0,0
30,463,272,95,122,0,15,3,17,0,0,0,13,1,7,0,0,2,0,0,0,0,0,0,21,0,43,1,23,2,0,0
31,253,237,89,43,0,12,62,86,0,0,0,27,45,31,0,0,17,0,0,0,0,0,0,12,0,16,4,3,5,0,0
32,497,36,66,14,0,23,9,28,0,0,0,8,4,20,0,0,2,0,0,0,0,0,0,8,0,9,0,4,32,0,0
33,4,167,263,4,0,21,32,1,0,0,0,41,4,32,0,0,2,0,0,0,0,0,0,11,0,11,4,5,2,0,0
34,320,68,86,41,0,62,26,12,0,0,0,21,22,19,0,0,21,0,0,0,0,0,0,9,0,23,1,1,5,0,0
35,172,78,99,6,0,17,49,19,0,0,0,1,13,23,0,0,10,0,0,0,0,0,0,14,0,11,8,12,4,0,0
36,211,120,34,3,0,24,7,32,0,0,0,16,12,9,0,0,9,0,0,0,0,0,0,3,0,3,2,23,0,0,0
37,58,72,213,2,0,63,6,14,0,0,0,5,7,27,0,0,13,0,0,0,0,0,0,8,0,7,3,23,3,0,0
38,112,96,122,477,0,37,42,2,0,0,0,19,23,50,0,0,0,0,0,0,0,0,0,14,0,13,10,8,17,0,0
39,613,273,184,66,0,43,4,18,0,0,0,17,39,8,0,0,31,0,0,0,0,0,0,15,0,7,1,3,6,0,0
40,82,157,113,102,0,23,17,0,0,0,0,3,6,6,0,0,19,0,0,0,0,0,0,2,0,24,0,9,20,0,0
41,550,5,63,57,0,5,2,0,0,0,0,6,41,27,0,0,7,0,0,0,0,0,0,24,0,12,0,6,11,0,0
42,209,87,134,211,0,49,72,27,0,0,0,11,26,6,0,0,2,0,0,0,0,0,0,11,0,1,9,24,2,0,0
43,1178,153,38,1,0,166,21,7,0,0,0,23,8,10,0,0,1,0,0,0,0,0,0,11,0,11,3,1,2,0,0
44,202,105,25,155,0,31,120,3,0,0,0,49,9,33,0,0,1,0,0,0,0,0,0,11,0,28,0,6,8,0,0
45,240,8,94,1,0,4,48,0,0,0,0,10,1,12,0,0,7,0,0,0,0,0,0,4,0,11,0,12,5,0,0
46,452,95,93,74,0,32,50,28,0,0,0,1,4,6,0,0,0,0,0,0,0,0,0,2,0,4,4,11,3,0,0
