,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,221,80,87,43,0,23,85,14,0,0,0,10,8,0,9,0,6,0,0,0,0,0,0,0,5,11,8,0,0,3,0
1,143,101,155,65,0,27,31,15,0,0,0,18,26,0,10,0,13,0,0,0,0,0,0,0,4,2,5,0,0,6,0
2,314,201,198,76,0,65,61,7,0,0,0,12,15,0,14,0,5,0,0,0,0,0,0,0,12,16,15,0,0,5,0
3,270,31,160,62,0,54,39,35,0,0,0,27,13,0,32,0,6,0,0,0,0,0,0,0,8,11,12,0,0,9,0
4,455,88,76,68,0,29,82,14,0,0,0,24,6,0,12,0,9,0,0,0,0,0,0,0,2,3,9,0,0,12,0
5,234,76,172,28,0,61,78,8,0,0,0,22,7,0,10,0,1,0,0,0,0,0,0,0,16,10,8,0,0,9,0
6,153,64,94,37,0,38,70,19,0,0,0,7,10,0,10,0,5,0,0,0,0,0,0,0,9,20,17,0,0,8,0
7,561,87,203,103,0,14,19,13,0,0,0,12,1,0,13,0,8,0,0,0,0,0,0,0,6,1,13,0,0,1,0
8,288,93,54,29,0,61,69,8,0,0,0,14,15,0,13,0,5,0,0,0,0,0,0,0,8,6,21,0,0,2,0
9,708,197,70,20,0,24,33,16,0,0,0,27,5,0,13,0,2,0,0,0,0,0,0,0,7,5,7,0,0,2,0
10,93,68,63,45,0,27,24,11,0,0,0,17,6,0,4,0,4,0,0,0,0,0,0,0,4,6,9,0,0,1,0
11,248,179,236,40,0,46,30,8,0,0,0,11,11,0,5,0,2,0,0,0,0,0,0,0,9,15,11,0,0,15,0
12,145,174,39,117,0,18,40,23,0,0,0,14,6,0,13,0,6,0,0,0,0,0,0,0,3,10,9,0,0,4,0
13,263,48,88,38,0,31,54,24,0,0,0,17,26,0,16,0,6,0,0,0,0,0,0,0,7,4,16,0,0,1,0
14,262,56,37,70,0,47,49,53,0,0,0,8,17,0,13,0,5,0,0,0,0,0,0,0,13,1,5,0,0,2,0
15,356,131,119,39,0,17,107,19,0,0,0,9,18,0,1,0,3,0,0,0,0,0,0,0,13,12,34,0,0,1,0
16,162,193,84,39,0,41,44,9,0,0,0,35,4,0,6,0,2,0,0,0,0,0,0,0,11,18,7,0,0,4,0
17,504,227,37,84,0,39,41,11,0,0,0,3,21,0,13,0,4,0,0,0,0,0,0,0,1,4,5,0,0,6,0
18,306,70,118,26,0,10,96,32,0,0,0,6,8,0,14,0,9,0,0,0,0,0,0,0,7,12,13,0,0,9,0
19,162,128,123,43,0,19,66,18,0,0,0,12,20,0,16,0,8,0,0,0,0,0,0,0,3,10,11,0,0,1,0
20,155,79,132,11,0,32,43,15,0,0,0,24,4,0,10,0,11,0,0,0,0,0,0,0,3,8,15,0,0,8,0
21,179,103,71,82,0,48,36,19,0,0,0,1,21,0,15,0,9,0,0,0,0,0,0,0,3,9,11,0,0,4,0
22,202,57,57,20,0,70,26,11,0,0,0,6,10,0,4,0,4,0,0,0,0,0,0,0,7,4,15,0,0,4,0
23,238,140,47,33,0,62,72,23,0,0,0,15,19,0,12,0,7,0,0,0,0,0,0,0,14,16,9,0,0,1,0
24,198,81,152,72,0,55,46,7,0,0,0,15,28,0,12,0,6,0,0,0,0,0,0,0,2,10,6,0,0,2,0
25,281,45,176,96,0,41,51,13,0,0,0,4,24,0,21,0,4,0,0,0,0,0,0,0,12,4,15,0,0,2,0
26,390,92,49,13,0,79,45,29,0,0,0,14,15,0,14,0,1,0,0,0,0,0,0,0,8,8,2,0,0,1,0
27,139,57,129,64,0,52,55,17,0,0,0,5,17,0,9,0,8,0,0,0,0,0,0,0,4,7,4,0,0,2,0
28,197,100,119,29,0,55,47,26,0,0,0,13,12,0,22,0,1,0,0,0,0,0,0,0,10,6,14,0,0,0,0
29,256,148,96,98,0,52,67,8,0,0,0,13,6,0,5,0,8,0,0,0,0,0,0,0,3,6,10,0,0,0,0
30,163,54,144,52,0,30,33,12,0,0,0,16,16,0,26,0,15,0,0,0,0,0,0,0,24,8,2,0,0,6,0
31,108,192,15,57,0,40,52,16,0,0,0,17,19,0,12,0,5,0,0,0,0,0,0,0,9,10,12,0,0,1,0
32,96,137,109,55,0,54,68,27,0,0,0,8,7,0,12,0,9,0,0,0,0,0,0,0,3,15,27,0,0,5,0
33,637,75,114,48,0,25,52,18,0,0,0,7,7,0,7,0,2,0,0,0,0,0,0,0,16,9,17,0,0,8,0
34,221,94,187,37,0,49,25,22,0,0,0,14,19,0,9,0,5,0,0,0,0,0,0,0,11,3,10,0,0,1,0
35,177,46,127,56,0,47,34,23,0,0,0,19,15,0,5,0,7,0,0,0,0,0,0,0,10,4,11,0,0,6,0
36,295,46,66,91,0,24,41,11,0,0,0,11,22,0,12,0,5,0,0,0,0,0,0,0,8,6,9,0,0,3,0
37,58,74,96,72,0,80,14,10,0,0,0,31,11,0,24,0,5,0,0,0,0,0,0,0,5,9,15,0,0,2,0
38,127,66,46,30,0,31,58,24,0,0,0,9,5,0,52,0,3,0,0,0,0,0,0,0,5,6,30,0,0,7,0
39,294,179,79,22,0,22,29,12,0,0,0,8,11,0,10,0,2,0,0,0,0,0,0,0,13,9,2,0,0,1,0
40,660,132,72,49,0,21,67,29,0,0,0,2,5,0,15,0,5,0,0,0,0,0,0,0,6,7,14,0,0,4,0
41,322,34,149,82,0,74,85,21,0,0,0,6,18,0,3,0,6,0,0,0,0,0,0,0,6,8,6,0,0,2,0
42,434,69,113,72,0,49,74,26,0,0,0,21,17,0,4,0,5,0,0,0,0,0,0,0,4,3,15,0,0,2,0
43,175,55,115,55,0,47,51,3,0,0,0,12,3,0,35,0,5,0,0,0,0,0,0,0,13,9,9,0,0,3,0
44,160,137,121,26,0,41,87,22,0,0,0,14,7,0,17,0,3,0,0,0,0,0,0,0,10,13,10,0,0,1,0
45,98,136,64,26,0,39,71,18,0,0,0,7,7,0,6,0,5,0,0,0,0,0,0,0,4,11,18,0,0,2,0
46,664,240,73,45,0,33,15,11,0,0,0,6,5,0,20,0,5,0,0,0,0,0,0,0,13,9,12,0,0,2,0
47,145,46,51,22,0,17,94,21,0,0,0,25,15,0,15,0,2,0,0,0,0,0,0,0,5,0,14,0,0,1,0
48,164,79,169,62,0,26,31,15,0,0,0,4,8,0,9,0,9,0,0,0,0,0,0,0,5,1,7,0,0,4,0
49,61,59,70,32,0,40,31,20,0,0,0,11,14,0,7,0,4,0,0,0,0,0,0,0,12,13,5,0,0,3,0
50,184,100,165,64,0,8,92,33,0,0,0,26,24,0,15,0,12,0,0,0,0,0,0,0,7,5,2,0,0,5,0
51,372,278,123,36,0,22,50,11,0,0,0,16,19,0,19,0,11,0,0,0,0,0,0,0,2,17,7,0,0,7,0
52,471,166,171,52,0,26,38,12,0,0,0,21,3,0,6,0,4,0,0,0,0,0,0,0,8,5,11,0,0,11,0
53,194,51,145,50,0,76,47,44,0,0,0,8,23,0,12,0,5,0,0,0,0,0,0,0,6,7,8,0,0,13,0
54,307,22,148,55,0,44,35,21,0,0,0,11,19,0,9,0,7,0,0,0,0,0,0,0,3,11,19,0,0,4,0
55,131,117,300,85,0,24,17,32,0,0,0,14,17,0,12,0,6,0,0,0,0,0,0,0,6,30,19,0,0,1,0
56,189,148,109,54,0,13,64,27,0,0,0,8,17,0,9,0,5,0,0,0,0,0,0,0,6,6,12,0,0,3,0
57,293,275,193,42,0,78,19,22,0,0,0,32,7,0,39,0,4,0,0,0,0,0,0,0,3,4,19,0,0,3,0
58,625,127,79,62,0,65,28,29,0,0,0,11,3,0,19,0,5,0,0,0,0,0,0,0,2,13,7,0,0,3,0
