,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,228,98,118,0,37,56,52,0,0,21,19,14,14,0,15,0,0,0,0,4,8,12,10,0,1,2,4,0,0,0,4
1,244,110,131,0,38,59,37,0,0,21,15,12,20,0,18,0,0,0,0,1,4,6,6,0,4,12,2,0,0,0,11
2,230,118,112,0,32,59,50,0,0,15,23,10,17,0,21,0,0,0,0,6,6,14,14,0,4,3,4,0,0,0,4
3,238,98,126,0,54,50,32,0,0,20,24,12,14,0,25,0,0,0,0,2,3,7,4,0,2,7,1,0,0,0,15
4,237,113,127,0,29,63,47,0,0,20,12,15,26,0,18,0,0,0,0,1,7,7,6,0,4,9,6,0,0,0,10
5,235,116,114,0,39,45,47,0,0,20,15,13,15,0,15,0,0,0,0,6,6,9,6,0,6,10,6,0,0,0,5
6,241,111,131,0,47,54,38,0,0,22,29,21,28,0,20,0,0,0,0,3,4,7,3,0,2,6,4,0,0,0,8
7,235,117,123,0,38,49,43,0,0,13,16,19,14,0,20,0,0,0,0,4,5,8,5,0,1,3,3,0,0,0,9
8,226,136,103,0,44,51,52,0,0,16,15,17,26,0,20,0,0,0,0,0,1,9,7,0,3,8,1,0,0,0,9
9,251,124,120,0,38,53,45,0,0,25,18,16,15,0,20,0,0,0,0,3,5,13,10,0,5,10,1,0,0,0,12
10,261,110,109,0,28,40,39,0,0,16,25,17,17,0,12,0,0,0,0,0,6,15,7,0,7,6,5,0,0,0,6
11,223,104,109,0,39,47,48,0,0,17,15,18,20,0,16,0,0,0,0,1,5,9,12,0,2,6,0,0,0,0,9
12,247,110,107,0,42,47,52,0,0,25,19,18,15,0,15,0,0,0,0,3,10,7,7,0,4,6,5,0,0,0,8
13,241,115,121,0,46,46,43,0,0,11,14,22,24,0,12,0,0,0,0,6,8,12,6,0,3,7,4,0,0,0,7
14,231,95,117,0,39,41,38,0,0,25,22,13,20,0,21,0,0,0,0,6,6,6,8,0,2,12,5,0,0,0,4
15,230,97,102,0,27,52,46,0,0,18,17,13,20,0,16,0,0,0,0,4,5,7,4,0,9,7,0,0,0,0,12
16,212,96,111,0,36,41,37,0,0,24,20,11,22,0,18,0,0,0,0,3,5,9,3,0,3,5,4,0,0,0,12
17,258,97,108,0,32,60,38,0,0,21,23,22,18,0,16,0,0,0,0,2,12,9,5,0,9,6,4,0,0,0,7
18,234,114,114,0,48,48,31,0,0,24,18,16,29,0,15,0,0,0,0,1,8,7,8,0,3,8,4,0,0,0,7
19,209,101,123,0,30,47,43,0,0,14,27,17,21,0,21,0,0,0,0,6,6,18,3,0,5,4,3,0,0,0,12
20,223,114,138,0,45,52,43,0,0,24,27,10,29,0,17,0,0,0,0,4,6,9,10,0,6,5,1,0,0,0,11
21,264,127,130,0,50,37,46,0,0,17,21,8,22,0,25,0,0,0,0,4,6,9,8,0,3,6,1,0,0,0,5
22,220,105,130,0,37,56,44,0,0,18,20,13,16,0,19,0,0,0,0,5,2,11,6,0,2,9,4,0,0,0,16
23,217,99,135,0,37,57,37,0,0,22,25,9,10,0,22,0,0,0,0,7,8,7,8,0,4,9,1,0,0,0,5
24,212,117,121,0,40,56,57,0,0,12,18,15,19,0,17,0,0,0,0,4,5,10,8,0,5,5,4,0,0,0,11
25,267,97,113,0,41,55,40,0,0,17,18,9,24,0,20,0,0,0,0,5,9,10,7,0,2,6,2,0,0,0,8
26,216,93,107,0,60,39,32,0,0,16,17,15,21,0,20,0,0,0,0,3,9,7,6,0,0,9,4,0,0,0,9
27,230,99,120,0,39,59,38,0,0,15,18,16,16,0,22,0,0,0,0,1,6,11,3,0,4,13,1,0,0,0,10
28,205,115,142,0,28,53,47,0,0,20,25,15,16,0,16,0,0,0,0,4,9,9,9,0,6,4,1,0,0,0,7
