,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,217,115,119,46,0,47,51,20,0,0,0,13,20,0,22,6,0,0,0,0,0,0,0,7,0,5,5,0,0,0,3
1,236,99,119,41,0,60,49,26,0,0,0,12,15,0,19,14,0,0,0,0,0,0,0,1,0,8,1,0,0,0,10
2,247,108,113,49,0,39,48,26,0,0,0,21,21,0,29,7,0,0,0,0,0,0,0,8,0,6,1,0,0,0,6
3,253,109,135,39,0,58,22,24,0,0,0,20,21,0,22,9,0,0,0,0,0,0,0,5,0,7,1,0,0,0,5
4,237,111,113,36,0,67,51,37,0,0,0,15,17,0,21,10,0,0,0,0,0,0,0,9,0,8,2,0,0,0,6
5,199,116,130,39,0,49,44,23,0,0,0,16,15,0,28,9,0,0,0,0,0,0,0,6,0,2,1,0,0,0,10
6,235,119,103,46,0,49,45,20,0,0,0,16,24,0,18,11,0,0,0,0,0,0,0,5,0,8,4,0,0,0,8
7,239,133,131,38,0,58,44,13,0,0,0,20,28,0,19,16,0,0,0,0,0,0,0,6,0,10,1,0,0,0,15
8,249,107,109,45,0,43,42,18,0,0,0,13,19,0,17,6,0,0,0,0,0,0,0,7,0,4,1,0,0,0,4
9,224,113,107,41,0,50,36,18,0,0,0,17,12,0,15,3,0,0,0,0,0,0,0,10,0,12,2,0,0,0,7
10,244,101,117,39,0,41,49,18,0,0,0,10,21,0,22,7,0,0,0,0,0,0,0,9,0,8,2,0,0,0,6
11,222,121,110,38,0,54,37,29,0,0,0,8,17,0,17,6,0,0,0,0,0,0,0,4,0,7,3,0,0,0,6
12,227,88,155,50,0,41,54,31,0,0,0,11,10,0,21,7,0,0,0,0,0,0,0,9,0,7,4,0,0,0,8
13,202,134,143,43,0,36,46,27,0,0,0,13,20,0,15,6,0,0,0,0,0,0,0,9,0,4,1,0,0,0,9
14,239,105,135,50,0,51,54,28,0,0,0,19,16,0,21,12,0,0,0,0,0,0,0,5,0,8,4,0,0,0,12
15,242,114,103,44,0,47,38,22,0,0,0,20,18,0,20,7,0,0,0,0,0,0,0,12,0,8,4,0,0,0,5
16,222,98,111,36,0,58,50,21,0,0,0,19,17,0,18,7,0,0,0,0,0,0,0,4,0,10,2,0,0,0,8
17,223,113,145,44,0,52,38,24,0,0,0,15,13,0,18,7,0,0,0,0,0,0,0,6,0,10,5,0,0,0,5
18,239,102,110,44,0,52,57,23,0,0,0,19,20,0,26,11,0,0,0,0,0,0,0,11,0,9,3,0,0,0,8
19,237,102,109,42,0,46,29,22,0,0,0,12,27,0,25,3,0,0,0,0,0,0,0,11,0,3,1,0,0,0,8
20,279,108,136,54,0,41,32,31,0,0,0,12,18,0,18,12,0,0,0,0,0,0,0,10,0,8,4,0,0,0,11
21,227,114,122,46,0,52,46,18,0,0,0,18,19,0,20,3,0,0,0,0,0,0,0,9,0,11,3,0,0,0,6
22,227,118,116,37,0,43,39,31,0,0,0,15,13,0,16,6,0,0,0,0,0,0,0,9,0,10,2,0,0,0,12
23,221,111,119,57,0,50,46,29,0,0,0,12,26,0,12,10,0,0,0,0,0,0,0,11,0,8,1,0,0,0,5
24,212,95,121,39,0,50,44,14,0,0,0,23,18,0,16,12,0,0,0,0,0,0,0,6,0,6,2,0,0,0,4
25,269,103,133,43,0,49,44,21,0,0,0,18,16,0,21,9,0,0,0,0,0,0,0,5,0,11,3,0,0,0,7
26,252,110,112,51,0,37,40,23,0,0,0,15,9,0,24,5,0,0,0,0,0,0,0,8,0,8,4,0,0,0,3
27,224,118,109,48,0,53,48,19,0,0,0,16,16,0,20,9,0,0,0,0,0,0,0,13,0,7,5,0,0,0,14
28,217,95,127,46,0,55,32,17,0,0,0,19,11,0,20,6,0,0,0,0,0,0,0,7,0,7,6,0,0,0,6
