,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
0,232,0,120,0,0,39,37,0,0,0,0,0,18,0,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,16
1,254,0,123,0,0,55,43,0,0,0,0,0,17,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,7
2,225,0,111,0,0,41,42,0,0,0,0,0,25,0,21,0,0,0,0,0,0,0,0,0,0,9,0,0,0,16,11
3,240,0,107,0,0,41,34,0,0,0,0,0,23,0,19,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,11
4,240,0,125,0,0,37,64,0,0,0,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,10
5,250,0,125,0,0,43,52,0,0,0,0,0,28,0,14,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,11
6,225,0,117,0,0,46,36,0,0,0,0,0,25,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,9
7,215,0,123,0,0,39,42,0,0,0,0,0,15,0,20,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,15
8,230,0,109,0,0,54,40,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,10
9,234,0,87,0,0,40,44,0,0,0,0,0,24,0,17,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,6
10,231,0,107,0,0,49,43,0,0,0,0,0,20,0,21,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,5
11,232,0,118,0,0,54,54,0,0,0,0,0,17,0,24,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,8
12,239,0,131,0,0,35,33,0,0,0,0,0,25,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,14,6
13,246,0,132,0,0,42,53,0,0,0,0,0,15,0,19,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,6
14,264,0,120,0,0,52,33,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,15
15,243,0,132,0,0,57,45,0,0,0,0,0,22,0,16,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,8
