,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62
0,222,132,0,61,61,0,0,36,27,26,29,0,0,0,0,14,9,30,0,9,0,21,24,0,0,0,0,0,0,0,0,14,0,1,4,10,6,0,0,0,16,0,0,0,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,244,112,0,74,64,0,0,35,22,18,24,0,0,0,0,21,9,18,0,14,0,6,21,0,0,0,0,0,0,0,0,6,0,2,5,11,8,0,0,0,12,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,246,127,0,83,63,0,0,29,21,19,37,0,0,0,0,21,10,16,0,13,0,14,21,0,0,0,0,0,0,0,0,9,0,4,7,7,4,0,0,0,12,0,0,0,8,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,243,119,0,76,62,0,0,32,23,15,34,0,0,0,0,17,10,21,0,17,0,10,22,0,0,0,0,0,0,0,0,8,0,2,2,11,5,0,0,0,11,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,224,111,0,82,69,0,0,33,17,11,21,0,0,0,0,22,3,21,0,14,0,19,14,0,0,0,0,0,0,0,0,10,0,9,1,15,4,0,0,0,8,0,0,0,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,243,114,0,70,65,0,0,37,27,25,31,0,0,0,0,20,7,15,0,16,0,10,29,0,0,0,0,0,0,0,0,8,0,5,1,13,6,0,0,0,12,0,0,0,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,245,124,0,78,84,0,0,45,21,24,31,0,0,0,0,17,4,13,0,15,0,16,17,0,0,0,0,0,0,0,0,7,0,3,1,14,10,0,0,0,5,0,0,0,7,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,224,131,0,59,52,0,0,31,28,11,26,0,0,0,0,13,6,24,0,14,0,10,26,0,0,0,0,0,0,0,0,6,0,4,5,13,6,0,0,0,14,0,0,0,2,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,242,122,0,73,87,0,0,41,25,17,21,0,0,0,0,27,8,15,0,13,0,16,14,0,0,0,0,0,0,0,0,3,0,4,8,5,9,0,0,0,8,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,242,116,0,65,76,0,0,35,24,22,25,0,0,0,0,17,12,20,0,14,0,20,24,0,0,0,0,0,0,0,0,7,0,3,7,11,7,0,0,0,10,0,0,0,5,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,238,114,0,78,71,0,0,53,31,23,35,0,0,0,0,26,9,19,0,15,0,12,20,0,0,0,0,0,0,0,0,10,0,2,6,10,5,0,0,0,6,0,0,0,6,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,230,125,0,91,68,0,0,42,24,23,24,0,0,0,0,19,6,21,0,11,0,9,23,0,0,0,0,0,0,0,0,7,0,0,5,10,6,0,0,0,12,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,263,131,0,64,64,0,0,30,20,18,37,0,0,0,0,18,7,20,0,3,0,18,20,0,0,0,0,0,0,0,0,9,0,4,6,8,9,0,0,0,7,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,253,110,0,72,79,0,0,39,24,24,31,0,0,0,0,20,11,24,0,18,0,14,20,0,0,0,0,0,0,0,0,2,0,3,4,14,6,0,0,0,11,0,0,0,5,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,233,115,0,71,84,0,0,43,27,11,25,0,0,0,0,16,8,21,0,15,0,15,18,0,0,0,0,0,0,0,0,10,0,3,13,12,7,0,0,0,13,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,249,128,0,58,76,0,0,41,18,14,32,0,0,0,0,18,8,25,0,15,0,9,28,0,0,0,0,0,0,0,0,10,0,2,6,14,3,0,0,0,13,0,0,0,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,257,126,0,65,74,0,0,45,18,21,30,0,0,0,0,13,9,20,0,20,0,10,24,0,0,0,0,0,0,0,0,8,0,5,3,9,5,0,0,0,10,0,0,0,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,227,108,0,80,72,0,0,42,33,17,32,0,0,0,0,19,5,22,0,15,0,13,25,0,0,0,0,0,0,0,0,15,0,4,2,15,5,0,0,0,10,0,0,0,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,276,114,0,60,67,0,0,47,31,21,21,0,0,0,0,16,8,20,0,19,0,7,23,0,0,0,0,0,0,0,0,7,0,5,1,17,5,0,0,0,10,0,0,0,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,265,123,0,65,65,0,0,36,29,25,22,0,0,0,0,22,9,19,0,11,0,13,20,0,0,0,0,0,0,0,0,7,0,5,7,7,5,0,0,0,15,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,233,135,0,63,67,0,0,43,29,18,25,0,0,0,0,17,7,24,0,16,0,15,19,0,0,0,0,0,0,0,0,12,0,4,11,8,15,0,0,0,23,0,0,0,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,227,127,0,68,67,0,0,47,18,27,18,0,0,0,0,20,6,18,0,21,0,14,24,0,0,0,0,0,0,0,0,14,0,4,4,11,10,0,0,0,10,0,0,0,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,255,106,0,76,76,0,0,45,23,17,26,0,0,0,0,18,7,14,0,15,0,14,25,0,0,0,0,0,0,0,0,10,0,3,8,6,6,0,0,0,9,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,243,111,0,75,74,0,0,27,24,11,37,0,0,0,0,20,7,17,0,17,0,12,19,0,0,0,0,0,0,0,0,13,0,5,6,10,9,0,0,0,13,0,0,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,221,122,0,70,71,0,0,36,33,14,20,0,0,0,0,20,11,16,0,24,0,13,18,0,0,0,0,0,0,0,0,12,0,7,4,15,7,0,0,0,8,0,0,0,1,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,217,107,0,68,80,0,0,45,16,17,31,0,0,0,0,11,4,11,0,10,0,9,16,0,0,0,0,0,0,0,0,10,0,3,3,14,7,0,0,0,10,0,0,0,3,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,228,108,0,55,72,0,0,40,25,20,30,0,0,0,0,21,5,16,0,19,0,8,21,0,0,0,0,0,0,0,0,13,0,3,1,14,9,0,0,0,10,0,0,0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,280,124,0,79,67,0,0,36,21,21,31,0,0,0,0,18,6,9,0,24,0,9,18,0,0,0,0,0,0,0,0,17,0,5,5,13,4,0,0,0,16,0,0,0,4,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,245,120,0,58,68,0,0,40,21,15,29,0,0,0,0,11,10,22,0,14,0,14,22,0,0,0,0,0,0,0,0,11,0,1,4,8,3,0,0,0,12,0,0,0,10,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,233,129,0,60,66,0,0,46,26,14,33,0,0,0,0,22,9,16,0,13,0,12,21,0,0,0,0,0,0,0,0,9,0,5,4,8,7,0,0,0,9,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,219,103,0,59,76,0,0,43,30,24,24,0,0,0,0,9,8,17,0,19,0,18,30,0,0,0,0,0,0,0,0,9,0,7,2,16,5,0,0,0,13,0,0,0,2,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,227,142,0,76,63,0,0,31,27,17,28,0,0,0,0,21,6,15,0,19,0,13,24,0,0,0,0,0,0,0,0,17,0,4,7,13,10,0,0,0,16,0,0,0,2,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,266,146,0,57,74,0,0,38,20,21,37,0,0,0,0,22,8,21,0,21,0,18,21,0,0,0,0,0,0,0,0,11,0,2,4,10,7,0,0,0,4,0,0,0,2,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,246,115,0,66,74,0,0,35,17,17,33,0,0,0,0,12,7,10,0,15,0,10,31,0,0,0,0,0,0,0,0,11,0,3,6,9,7,0,0,0,11,0,0,0,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,246,130,0,72,70,0,0,41,27,19,24,0,0,0,0,14,12,15,0,21,0,15,25,0,0,0,0,0,0,0,0,4,0,2,1,10,7,0,0,0,12,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,240,125,0,50,82,0,0,29,31,21,22,0,0,0,0,23,8,18,0,12,0,14,14,0,0,0,0,0,0,0,0,9,0,3,4,9,8,0,0,0,14,0,0,0,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,249,128,0,77,73,0,0,40,31,15,37,0,0,0,0,18,10,11,0,14,0,24,21,0,0,0,0,0,0,0,0,12,0,2,5,11,8,0,0,0,15,0,0,0,6,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,268,121,0,63,74,0,0,48,26,22,29,0,0,0,0,18,6,17,0,14,0,10,24,0,0,0,0,0,0,0,0,11,0,3,6,15,10,0,0,0,11,0,0,0,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,241,134,0,81,72,0,0,36,24,17,24,0,0,0,0,13,2,17,0,23,0,15,23,0,0,0,0,0,0,0,0,9,0,7,5,12,3,0,0,0,11,0,0,0,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,266,144,0,73,78,0,0,34,15,13,33,0,0,0,0,16,8,22,0,16,0,12,19,0,0,0,0,0,0,0,0,13,0,4,2,9,7,0,0,0,10,0,0,0,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,254,103,0,69,71,0,0,36,25,25,28,0,0,0,0,13,9,20,0,12,0,11,14,0,0,0,0,0,0,0,0,6,0,3,4,16,12,0,0,0,10,0,0,0,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,198,121,0,65,64,0,0,43,31,18,27,0,0,0,0,22,8,11,0,23,0,9,22,0,0,0,0,0,0,0,0,5,0,4,10,14,10,0,0,0,12,0,0,0,7,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,233,106,0,67,75,0,0,39,31,18,20,0,0,0,0,20,5,13,0,13,0,13,27,0,0,0,0,0,0,0,0,12,0,3,3,13,6,0,0,0,7,0,0,0,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,230,116,0,64,73,0,0,38,27,14,27,0,0,0,0,14,8,19,0,16,0,11,18,0,0,0,0,0,0,0,0,16,0,2,8,10,2,0,0,0,13,0,0,0,7,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,240,119,0,78,69,0,0,47,20,18,29,0,0,0,0,16,6,19,0,21,0,13,16,0,0,0,0,0,0,0,0,12,0,8,6,12,10,0,0,0,9,0,0,0,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,223,132,0,72,84,0,0,40,22,17,26,0,0,0,0,18,14,18,0,13,0,10,24,0,0,0,0,0,0,0,0,6,0,4,5,13,8,0,0,0,10,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,222,140,0,79,66,0,0,46,20,16,26,0,0,0,0,16,15,18,0,14,0,14,15,0,0,0,0,0,0,0,0,9,0,4,5,17,3,0,0,0,14,0,0,0,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,195,127,0,65,72,0,0,32,25,23,33,0,0,0,0,15,5,15,0,23,0,16,23,0,0,0,0,0,0,0,0,11,0,5,5,10,2,0,0,0,11,0,0,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,232,103,0,58,72,0,0,39,32,21,31,0,0,0,0,12,13,15,0,14,0,13,23,0,0,0,0,0,0,0,0,8,0,6,8,14,5,0,0,0,15,0,0,0,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,260,109,0,69,65,0,0,35,27,22,27,0,0,0,0,14,8,21,0,12,0,16,23,0,0,0,0,0,0,0,0,13,0,7,3,11,9,0,0,0,12,0,0,0,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,234,118,0,78,81,0,0,42,15,9,30,0,0,0,0,28,4,18,0,13,0,11,21,0,0,0,0,0,0,0,0,12,0,8,5,12,10,0,0,0,13,0,0,0,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,250,116,0,90,70,0,0,43,30,24,24,0,0,0,0,9,7,17,0,16,0,17,21,0,0,0,0,0,0,0,0,9,0,3,5,8,7,0,0,0,14,0,0,0,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,223,122,0,78,65,0,0,47,21,19,25,0,0,0,0,24,12,17,0,15,0,15,18,0,0,0,0,0,0,0,0,11,0,2,5,9,7,0,0,0,11,0,0,0,2,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,267,137,0,76,71,0,0,40,26,14,36,0,0,0,0,28,11,19,0,19,0,12,27,0,0,0,0,0,0,0,0,13,0,4,7,8,8,0,0,0,12,0,0,0,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,243,113,0,73,83,0,0,36,20,20,29,0,0,0,0,17,10,15,0,15,0,14,23,0,0,0,0,0,0,0,0,8,0,4,7,13,8,0,0,0,12,0,0,0,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,269,114,0,66,63,0,0,55,25,18,20,0,0,0,0,15,8,16,0,14,0,7,16,0,0,0,0,0,0,0,0,7,0,6,2,8,8,0,0,0,9,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,243,97,0,73,68,0,0,33,22,14,40,0,0,0,0,21,10,24,0,21,0,11,28,0,0,0,0,0,0,0,0,10,0,2,3,11,6,0,0,0,11,0,0,0,5,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,218,124,0,81,60,0,0,30,19,14,34,0,0,0,0,18,4,20,0,15,0,17,17,0,0,0,0,0,0,0,0,13,0,3,6,10,10,0,0,0,6,0,0,0,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,215,117,0,76,78,0,0,36,30,17,29,0,0,0,0,11,10,17,0,13,0,14,16,0,0,0,0,0,0,0,0,4,0,1,3,7,9,0,0,0,9,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,253,126,0,62,83,0,0,48,21,28,38,0,0,0,0,9,8,23,0,11,0,16,18,0,0,0,0,0,0,0,0,7,0,5,2,9,7,0,0,0,14,0,0,0,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,225,108,0,83,60,0,0,42,23,21,35,0,0,0,0,19,4,23,0,15,0,14,17,0,0,0,0,0,0,0,0,8,0,7,6,13,9,0,0,0,3,0,0,0,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,237,106,0,68,72,0,0,35,27,11,32,0,0,0,0,13,4,14,0,23,0,10,16,0,0,0,0,0,0,0,0,11,0,2,2,10,11,0,0,0,5,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,228,130,0,68,91,0,0,41,20,27,34,0,0,0,0,20,9,17,0,20,0,17,20,0,0,0,0,0,0,0,0,13,0,2,5,6,13,0,0,0,7,0,0,0,4,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,233,131,0,73,77,0,0,26,26,17,27,0,0,0,0,13,12,16,0,10,0,15,17,0,0,0,0,0,0,0,0,10,0,8,2,10,4,0,0,0,11,0,0,0,7,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,243,118,0,64,66,0,0,40,18,28,22,0,0,0,0,11,7,20,0,11,0,15,33,0,0,0,0,0,0,0,0,12,0,0,1,14,3,0,0,0,14,0,0,0,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,256,129,0,72,74,0,0,26,26,18,18,0,0,0,0,17,7,18,0,15,0,13,29,0,0,0,0,0,0,0,0,8,0,3,7,12,4,0,0,0,13,0,0,0,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,239,143,0,64,64,0,0,35,24,17,33,0,0,0,0,24,12,22,0,13,0,15,20,0,0,0,0,0,0,0,0,6,0,1,3,16,8,0,0,0,11,0,0,0,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,232,113,0,52,52,0,0,37,31,30,30,0,0,0,0,26,15,19,0,15,0,11,21,0,0,0,0,0,0,0,0,8,0,2,1,15,7,0,0,0,11,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,257,131,0,68,63,0,0,47,29,18,30,0,0,0,0,24,8,17,0,16,0,12,23,0,0,0,0,0,0,0,0,9,0,1,3,11,9,0,0,0,7,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,243,118,0,70,86,0,0,43,27,22,30,0,0,0,0,14,6,21,0,19,0,9,17,0,0,0,0,0,0,0,0,13,0,5,4,14,4,0,0,0,9,0,0,0,6,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,249,131,0,80,81,0,0,50,30,12,21,0,0,0,0,19,7,19,0,11,0,16,30,0,0,0,0,0,0,0,0,8,0,5,4,13,7,0,0,0,11,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,251,121,0,76,72,0,0,35,27,18,33,0,0,0,0,9,5,16,0,16,0,13,16,0,0,0,0,0,0,0,0,8,0,3,5,6,7,0,0,0,9,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,251,114,0,90,56,0,0,43,26,24,26,0,0,0,0,26,6,21,0,11,0,13,22,0,0,0,0,0,0,0,0,16,0,4,10,7,9,0,0,0,10,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,225,135,0,84,63,0,0,36,33,23,37,0,0,0,0,12,7,27,0,14,0,11,16,0,0,0,0,0,0,0,0,12,0,3,2,13,5,0,0,0,7,0,0,0,4,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,276,127,0,62,78,0,0,38,21,14,27,0,0,0,0,13,9,17,0,14,0,15,15,0,0,0,0,0,0,0,0,13,0,8,7,9,6,0,0,0,5,0,0,0,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,248,134,0,69,84,0,0,43,20,20,23,0,0,0,0,22,7,7,0,17,0,5,33,0,0,0,0,0,0,0,0,3,0,3,7,8,13,0,0,0,10,0,0,0,3,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,227,117,0,67,71,0,0,40,26,20,26,0,0,0,0,13,11,17,0,12,0,14,21,0,0,0,0,0,0,0,0,11,0,4,4,12,5,0,0,0,10,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,206,112,0,79,84,0,0,44,29,14,23,0,0,0,0,14,6,21,0,21,0,11,21,0,0,0,0,0,0,0,0,13,0,5,4,18,8,0,0,0,12,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,237,130,0,74,68,0,0,36,26,22,29,0,0,0,0,16,8,17,0,11,0,11,20,0,0,0,0,0,0,0,0,4,0,6,4,11,8,0,0,0,10,0,0,0,5,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
