,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100,g101,g102,g103,g104,g105,g106,g107,g108,g109,g110,g111,g112,g113,g114,g115,g116,g117,g118,g119,g120,g121,g122,g123,g124,g125,g126,g127,g128,g129,g130,g131,g132,g133,g134,g135,g136,g137,g138,g139,g140,g141,g142,g143,g144,g145,g146,g147,g148,g149,g150,g151,g152,g153,g154,g155,g156,g157,g158,g159,g160,g161,g162,g163,g164,g165,g166,g167,g168,g169,g170,g171,g172,g173,g174,g175,g176,g177,g178,g179,g180,g181,g182,g183,g184,g185,g186,g187,g188,g189,g190,g191,g192,g193,g194,g195,g196,g197,g198,g199,g200,g201,g202,g203,g204,g205,g206,g207,g208,g209,g210,g211,g212,g213,g214,g215,g216,g217,g218,g219,g220,g221,g222,g223,g224,g225,g226,g227,g228,g229,g230,g231,g232,g233,g234,g235,g236,g237,g238,g239,g240,g241,g242,g243,g244,g245,g246,g247,g248,g249,g250,g251,g252,g253,g254
0,226,173,156,87,106,111,110,68,62,56,58,60,64,37,46,32,42,46,37,33,34,24,38,50,17,35,41,58,45,48,24,20,20,26,19,20,9,27,18,27,19,18,16,20,21,24,20,20,23,30,22,21,0,18,27,23,0,28,14,24,28,14,19,13,19,19,18,12,14,7,20,12,11,11,14,12,16,17,11,12,16,12,10,9,12,10,11,14,20,13,18,13,16,7,5,0,14,8,10,10,19,12,9,0,12,0,0,16,17,11,8,11,12,0,0,11,10,12,16,13,8,3,6,15,9,19,14,6,7,3,5,12,7,5,9,14,8,6,7,11,6,6,5,6,12,7,6,6,1,5,16,6,8,10,14,8,7,8,6,6,4,14,14,11,13,4,6,6,15,7,11,8,14,6,5,3,3,9,7,8,9,3,8,12,1,15,5,14,11,11,6,0,0,11,7,4,12,9,9,15,7,3,11,0,18,8,10,0,0,9,8,0,0,0,0,4,11,4,3,5,6,8,4,4,8,7,11,0,0,0,0,9,4,8,3,13,12,5,7,6,9,8,6,8,13,12,8,10,12,14,8,10,3,12,7
1,229,175,133,81,117,111,105,54,58,46,60,50,69,46,63,33,52,40,36,32,26,29,30,45,32,29,42,34,30,44,16,23,20,27,18,17,7,18,20,18,17,31,10,22,23,28,29,24,31,30,13,21,0,19,18,15,0,29,20,28,17,18,26,9,20,14,13,5,10,14,10,14,12,14,12,11,17,21,13,8,12,7,14,11,16,13,13,20,28,11,7,10,29,11,9,0,18,7,6,19,12,11,9,0,15,0,0,12,13,10,13,3,10,0,0,10,11,20,24,16,5,7,10,12,9,13,16,4,1,3,3,6,2,9,6,9,9,9,9,6,9,10,9,3,9,3,2,7,7,9,11,12,8,13,20,9,16,12,4,10,8,9,12,12,10,3,7,4,8,5,4,9,16,4,5,9,6,12,8,4,5,5,12,6,2,15,3,15,15,8,4,0,0,13,8,16,13,6,7,7,9,4,8,0,12,14,9,0,0,5,4,0,0,0,0,10,8,7,6,8,7,8,9,7,8,6,11,0,0,0,0,9,4,3,2,13,5,2,5,2,5,4,6,14,13,14,3,7,15,7,8,9,2,14,4
2,253,176,150,80,101,97,120,60,62,46,54,50,82,53,57,25,50,34,32,31,39,24,33,38,27,64,51,39,30,52,23,21,24,33,26,27,14,16,20,18,11,11,13,25,25,26,22,30,32,34,19,28,0,24,18,22,0,30,26,35,21,19,16,15,21,15,16,10,11,10,12,12,13,8,18,16,19,19,14,10,13,13,14,7,14,5,9,15,17,8,17,14,20,8,14,0,14,6,16,12,13,16,15,0,9,0,0,8,16,15,12,11,11,0,0,12,9,13,15,18,5,7,14,21,12,21,13,3,10,5,4,6,5,5,11,9,10,6,7,7,7,5,6,5,6,5,11,6,8,4,8,12,4,10,15,10,13,13,6,8,1,15,7,8,8,6,8,10,13,13,7,6,20,12,4,8,6,14,11,8,5,6,6,2,4,13,5,6,6,8,8,0,0,10,16,7,7,4,6,11,10,2,11,0,11,5,11,0,0,8,4,0,0,0,0,10,3,7,6,5,7,10,13,4,9,5,12,0,0,0,0,14,6,7,6,11,6,7,8,4,16,6,5,8,23,14,8,5,8,6,9,8,4,8,5
3,259,173,133,70,96,92,123,69,76,59,52,50,50,38,49,30,60,39,41,26,33,29,32,35,19,42,33,36,45,55,15,34,18,36,25,25,15,18,12,23,18,23,13,22,26,34,26,27,40,32,25,33,0,20,25,19,0,20,21,22,17,14,12,17,19,13,9,15,8,11,21,13,12,4,12,11,21,17,13,11,17,12,14,15,15,8,5,16,25,15,18,13,21,17,15,0,15,12,20,12,23,12,15,0,12,0,0,12,14,11,13,8,15,0,0,10,10,16,12,18,7,5,4,10,16,20,19,5,20,2,3,7,4,4,7,8,10,11,8,6,6,7,8,12,12,8,8,10,1,12,12,5,3,9,15,9,9,7,5,4,5,16,13,7,4,6,7,1,17,8,6,12,24,11,9,5,6,16,11,8,4,4,16,6,3,19,6,10,10,7,7,0,0,11,9,9,5,8,8,2,8,6,12,0,14,8,8,0,0,4,7,0,0,0,0,8,6,8,3,7,20,7,10,3,17,7,8,0,0,0,0,12,3,7,5,3,4,9,7,2,13,9,4,4,10,10,9,6,11,12,8,8,5,14,6
4,276,153,153,107,94,96,117,63,70,50,68,52,58,49,52,32,57,48,26,26,30,30,31,52,13,39,39,35,42,38,18,24,25,29,7,26,17,17,12,19,20,23,12,18,16,24,29,24,42,30,25,21,0,15,13,19,0,23,19,27,26,20,10,13,24,23,12,12,11,7,8,12,8,10,20,16,21,23,9,8,15,15,15,12,12,14,10,13,22,11,17,19,24,9,11,0,6,3,8,11,19,11,14,0,9,0,0,14,9,4,14,16,8,0,0,9,10,11,17,18,5,2,14,16,11,14,13,7,7,5,3,9,4,3,9,5,9,13,6,11,4,5,5,7,8,2,6,6,4,7,8,6,4,11,9,7,5,11,6,5,5,14,15,7,6,5,9,4,16,13,6,10,18,7,7,4,7,13,10,6,1,2,12,5,2,11,5,17,10,12,6,0,0,14,6,4,11,9,12,12,7,5,7,0,8,11,11,0,0,4,6,0,0,0,0,9,7,8,4,5,9,5,11,8,10,9,10,0,0,0,0,10,3,8,2,8,7,8,12,7,6,8,5,10,20,6,7,8,14,16,10,8,7,16,7
5,245,153,149,89,90,123,106,70,59,59,64,58,57,51,47,29,64,46,39,25,27,40,34,48,25,42,41,33,30,59,14,17,19,31,22,20,14,25,18,20,14,21,15,17,20,29,23,28,34,31,20,33,0,20,19,13,0,22,18,36,29,22,17,12,14,13,11,11,11,11,7,19,8,8,8,10,15,19,16,8,9,21,12,15,15,12,11,14,20,17,15,19,22,5,14,0,15,11,9,9,27,14,6,0,13,0,0,14,7,15,21,8,11,0,0,10,5,15,14,9,8,4,14,19,9,16,20,6,12,7,9,8,6,10,2,8,9,11,7,12,6,4,9,4,11,4,8,7,5,7,13,10,2,11,20,6,15,7,2,8,8,13,14,8,6,1,10,3,11,12,7,9,13,15,11,10,5,12,7,7,1,8,13,9,1,16,2,6,10,11,5,0,0,13,8,6,14,9,11,7,10,5,9,0,12,8,7,0,0,8,4,0,0,0,0,8,9,9,1,5,3,8,14,9,8,7,12,0,0,0,0,13,3,8,2,5,3,6,8,8,18,11,5,6,13,9,2,6,12,11,9,12,5,8,13
6,265,157,157,89,98,93,110,59,70,59,64,60,54,53,61,30,52,43,39,19,26,42,29,51,16,44,37,47,36,48,15,17,26,23,22,23,17,30,16,23,11,18,21,20,23,27,22,23,32,32,17,27,0,18,22,17,0,24,22,25,19,17,15,12,17,26,15,12,15,17,18,12,18,5,16,11,14,18,10,9,23,12,16,6,10,5,9,19,24,11,14,15,28,11,17,0,15,2,4,11,16,7,9,0,10,0,0,9,17,9,13,10,22,0,0,13,8,13,10,13,3,4,13,12,14,18,10,6,13,5,5,10,4,10,12,9,5,8,8,12,5,2,2,9,6,4,4,6,7,5,11,4,7,6,16,1,18,15,4,5,8,12,9,6,9,1,10,3,13,11,10,9,18,8,8,7,11,8,9,9,3,4,13,4,1,24,6,8,5,6,11,0,0,7,10,8,9,10,8,5,7,3,7,0,13,11,7,0,0,5,8,0,0,0,0,6,14,7,6,5,8,4,8,8,9,6,10,0,0,0,0,7,9,5,3,9,7,4,6,6,6,4,6,6,18,13,3,12,14,13,7,9,5,11,7
7,249,162,161,85,111,101,116,55,55,45,67,51,46,64,41,33,62,56,29,27,28,28,29,50,21,37,24,27,44,49,18,31,18,27,22,17,10,18,14,31,25,23,12,11,27,33,23,28,45,25,18,16,0,18,18,18,0,25,12,18,13,23,24,8,16,24,10,11,10,5,16,15,15,9,17,14,17,20,11,16,11,14,6,11,9,8,8,12,28,10,17,11,23,13,11,0,17,6,11,13,24,14,5,0,14,0,0,7,13,9,15,14,6,0,0,9,11,18,12,15,3,5,13,11,10,18,16,3,4,7,4,10,6,10,6,15,8,12,6,9,6,10,5,9,9,4,5,6,6,4,7,9,5,9,12,6,11,11,5,4,5,15,8,12,20,4,7,4,10,7,7,13,16,5,8,4,9,12,12,7,3,1,14,8,5,17,6,10,13,9,9,0,0,11,10,10,6,4,11,9,4,9,12,0,9,5,13,0,0,12,4,0,0,0,0,3,4,12,5,6,8,5,10,7,12,10,8,0,0,0,0,11,5,2,4,10,7,7,7,14,13,5,5,9,8,8,8,7,18,9,7,7,0,9,6
8,238,171,129,89,99,103,104,65,76,61,69,60,51,62,46,36,62,43,36,33,29,35,33,52,27,46,35,38,33,51,22,27,24,29,11,25,10,15,16,27,18,27,20,20,19,21,31,30,35,29,25,17,0,18,24,20,0,19,13,23,20,15,22,20,24,12,12,10,10,7,21,17,14,10,10,11,16,14,10,10,8,13,6,13,19,15,8,10,17,9,23,10,26,6,18,0,11,6,16,13,30,9,13,0,10,0,0,10,14,8,12,7,16,0,0,12,10,25,13,18,5,6,13,14,11,13,17,2,16,4,3,12,5,6,8,11,7,7,11,7,9,7,11,3,4,3,5,7,5,7,14,12,0,5,11,6,10,12,1,4,4,19,12,6,8,2,6,8,9,3,10,7,25,10,7,6,4,16,12,12,8,2,9,13,4,13,2,8,8,14,5,0,0,8,11,6,12,9,8,7,5,2,12,0,14,10,4,0,0,10,5,0,0,0,0,9,7,8,4,5,11,9,15,1,9,6,8,0,0,0,0,8,5,5,4,5,2,7,6,12,5,8,10,3,14,10,12,7,8,7,15,5,6,10,7
9,241,159,148,98,95,101,132,70,59,43,56,51,74,45,47,30,56,45,45,33,34,36,35,40,25,32,44,39,40,39,22,22,29,34,16,21,16,11,11,12,17,20,19,21,29,26,25,19,21,32,17,22,0,11,18,18,0,20,17,28,16,21,25,17,21,14,8,8,18,5,15,11,9,10,21,19,12,20,12,15,15,17,14,13,9,18,11,15,15,15,14,22,25,10,17,0,14,7,8,11,13,7,9,0,9,0,0,12,6,12,11,8,11,0,0,10,11,19,24,15,7,7,12,14,11,15,17,3,10,9,7,11,3,8,6,10,8,9,9,9,4,10,11,9,9,6,2,7,6,7,14,3,5,11,17,7,14,10,4,10,9,16,10,9,8,4,8,4,13,3,12,6,14,6,7,7,6,14,5,7,4,5,18,5,4,12,2,11,11,10,7,0,0,12,10,5,8,4,14,6,8,4,9,0,16,9,10,0,0,9,2,0,0,0,0,5,9,9,2,12,13,7,8,4,7,6,13,0,0,0,0,9,1,5,4,3,3,5,4,3,9,10,7,6,9,20,11,7,15,11,16,10,7,12,11
